cals,carbs,fats,pro,pgNo,pdf
357,26g,13g,34g,13,BTB
320,27g,8g,35g,14,BTB
326,24g,14g,26g,15,BTB
529,36g,21g,49g,16,BTB
329,45g,9g,17g,17,BTB
324,18g,16g,27g,18,BTB
363,36g,11g,30g,19,BTB
598,62g,22g,38g,20,BTB
377,48g,9g,26g,21,BTB
280,5g,12g,38g,22,BTB
452,47g,16g,30g,23,BTB
469,63g,17g,16g,24,BTB
98,17g,2g,3g,25,BTB
198,4g,10g,23g,26,BTB
345,37g,13g,20g,27,BTB
384,35g,12g,34g,28,BTB
308,48g,4g,20g,29,BTB
105,16g,1g,8g,30,BTB
453,30g,21g,36g,31,BTB
361,55g,5g,24g,32,BTB
143,4g,3g,25g,33,BTB
679,41g,27g,68g,35,BTB
264,5g,12g,34g,36,BTB
663,88g,15g,44g,38,BTB
533,55g,13g,49g,39,BTB
319,14g,11g,41g,40,BTB
197,7g,5g,31g,41,BTB
334,15g,14g,37g,43,BTB
462,34g,18g,41g,44,BTB
233,18g,5g,29g,45,BTB
307,30g,7g,31g,46,BTB
395,36g,15g,29g,47,BTB
319,18g,7g,46g,48,BTB
125,2g,5g,18g,49,BTB
429,28g,17g,41g,50,BTB
223,7g,11g,24g,51,BTB
580,48g,20g,52g,52,BTB
364,5g,16g,50g,53,BTB
201,2g,9g,28g,54,BTB
622,71g,10g,62g,55,BTB
331,27g,7g,40g,56,BTB
505,74g,9g,32g,57,BTB
400,44g,8g,38g,58,BTB
399,34g,11g,41g,60,BTB
353,28g,9g,40g,62,BTB
237,7g,9g,32g,63,BTB
568,44g,24g,44g,64,BTB
245,8g,9g,33g,65,BTB
555,34g,19g,62g,66,BTB
434,14g,18g,54g,67,BTB
543,54g,15g,48g,68,BTB
702,72g,26g,45g,69,BTB
382,24g,10g,49g,70,BTB
342,3g,18g,42g,71,BTB
493,22g,21g,54g,72,BTB
309,17g,13g,31g,74,BTB
217,16g,5g,27g,75,BTB
265,13g,9g,33g,76,BTB
345,38g,5g,37g,77,BTB
393,28g,13g,41g,78,BTB
477,35g,21g,37g,79,BTB
390,38g,10g,37g,80,BTB
332,34g,8g,31g,81,BTB
362,18g,10g,50g,82,BTB
338,17g,14g,36g,83,BTB
275,5g,11g,39g,84,BTB
416,15g,24g,35g,86,BTB
578,62g,14g,51g,87,BTB
131,2g,3g,24g,88,BTB
220,1g,12g,27g,89,BTB
334,22g,10g,39g,90,BTB
333,30g,17g,15g,92,BTB
436,58g,8g,33g,93,BTB
599,82g,19g,25g,94,BTB
344,50g,8g,18g,95,BTB
609,44g,29g,43g,96,BTB
409,25g,13g,48g,97,BTB
468,47g,20g,25g,98,BTB
328,22g,12g,33g,99,BTB
233,24g,1g,32g,100,BTB
477,46g,17g,35g,101,BTB
612,52g,28g,38g,102,BTB
807,69g,39g,45g,103,BTB
543,53g,19g,40g,104,BTB
222,3g,10g,30g,105,BTB
226,14g,6g,29g,106,BTB
248,12g,8g,32g,107,BTB
176,3g,8g,23g,109,BTB
364,34g,12g,30g,111,BTB
183,19g,7g,11g,112,BTB
110,6g,6g,8g,113,BTB
276,14g,12g,28g,114,BTB
192,11g,12g,10g,115,BTB
232,21g,12g,10g,116,BTB
235,15g,11g,19g,117,BTB
227,24g,11g,10g,118,BTB
415,30g,23g,22g,119,BTB
414,23g,18g,40g,120,BTB
299,41g,7g,18g,121,BTB
499,56g,27g,8g,122,BTB
375,49g,15g,11g,123,BTB
216,22g,8g,14g,124,BTB
170,9g,2g,29g,125,BTB
245,14g,13g,18g,126,BTB
254,28g,14g,4g,127,BTB
342,28g,18g,17g,128,BTB
121,16g,5g,3g,129,BTB
157,16g,5g,12g,130,BTB
49,3g,1g,7g,131,BTB
122,16g,2g,10g,133,BTB
502,74g,10g,29g,134,BTB
415,47g,3g,50g,135,BTB
167,10g,11g,7g,136,BTB
73,5g,5g,2g,137,BTB
497,58g,9g,46g,138,BTB
412,51g,8g,34g,139,BTB
332,50g,4g,24g,140,BTB
199,23g,7g,11g,141,BTB
386,32g,14g,33g,142,BTB
301,29g,13g,17g,143,BTB
375,29g,7g,49g,144,BTB
269,31g,9g,16g,147,BTB
259,30g,11g,10g,148,BTB
134,15g,6g,5g,149,BTB
584,40g,24g,52g,151,BTB
187,23g,3g,17g,152,BTB
111,14g,3g,7g,153,BTB
244,9g,12g,25g,155,BTB
204,32g,4g,10g,157,BTB
365,33g,21g,11g,159,BTB
333,30g,13g,24g,160,BTB
424,38g,20g,23g,161,BTB
285,47g,5g,13g,162,BTB
247,18g,11g,19g,163,BTB
377,44g,13g,21g,164,BTB
250,27g,14g,4g,165,BTB
401,31g,21g,22g,166,BTB
397,31g,13g,29g,167,BTB
140,13g,8g,4g,169,BTB
632,83g,24g,21g,170,BTB
238,30g,6g,16g,171,BTB
191,12g,11g,11g,172,BTB
364,64g,4g,18g,173,BTB
321,36g,13g,15g,174,BTB
351,24g,19g,21g,175,BTB
160,11g,8g,11g,176,BTB
204,32g,4g,10g,177,BTB
210,16g,10g,14g,178,BTB
336,26g,16g,22g,179,BTB
390,56g,10g,19g,181,BTB
